a52dec 0.7.4-9
noto-fonts-cjk 20170404-1
noto-fonts-emoji 20170317-1
npth 1.3-1
nspr 4.13.1-1
nss 3.29.3-2
ntfs-3g 2017.3.23-1
opencore-amr 0.1.4-1
openexr 2.2.0-3
openjpeg2 2.1.2-2
openresolv 3.9.0-1
openssh 7.4p1-2
openssl 1.0.2.k-1
opus 1.1.4-1
orage 4.12.1-3
orc 0.4.26-2
os-prober 1.71-1
p11-kit 0.23.5-1
pacaur 4.7.2-1
package-query 1.8.r380-2
pacman 5.0.1-4
pacman-mirrorlist 20170316-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.4-1
pangomm 2.40.1-1
papirus-icon-theme-git 1:r953.5b4f07795-1
patch 2.7.5-1
pavucontrol 3.0-4
pciutils 3.5.4-1
pcmanfm 1.2.5-1
pcmciautils 018-7
pcre 8.40-1
pcre2 10.22-2
perl 5.24.1-1
perl-error 0.17024-1
perl-file-basedir 0.07-1
perl-ipc-system-simple 1.25-1
perl-uri 1.71-1
pinentry 1.0.0-1
pixman 0.34.0-1
pkg-config 0.29.1-2
pkgfile 15-1
polkit 0.113+29+g3272a98-1
polkit-gnome 0.105-3
popt 1.16-8
ppp 2.4.7-2
procps-ng 3.3.12-1
psmisc 22.21-3
pulseaudio 10.0-2
pygobject-devel 3.22.0-2
pygobject2-devel 2.28.6-13
pygtk 2.24.0-6
python 3.6.0-2
python-gobject 3.22.0-2
python-termcolor 1.1.0-5
python2 2.7.13-1
python2-cairo 1.10.0-2
python2-gobject2 2.28.6-13
qrencode 3.4.4-1
randrproto 1.5.0-1
re2 20170101-1
readline 7.0.003-1
recordproto 1.14.2-2
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
rhythmbox 3.4.1-3
ristretto 0.8.2-1
rpcbind 0.2.4-2
rsync 3.1.2-2
rtkit 0.11+6+g417bb7d-1
s-nail 14.8.16-1
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
sdl2 2.0.5-3
sed 4.4-1
shadow 4.4-3
shared-mime-info 1.8-1
sharutils 4.15.2-2
slang 2.3.1a-1
snappy 1.1.4-1
sound-theme-freedesktop 0.8-2
speex 1.2.0-1
speexdsp 1.2rc3-2
sqlite 3.18.0-1
startup-notification 0.12-5
stfl 0.24-2
sudo 1.8.19.p2-1
sysfsutils 2.1.0-9
systemd 232-8
systemd-sysvcompat 232-8
taglib 1.11.1-1
talloc 2.1.9-1
tar 1.29-2
task 2.5.1-1
tcl 8.6.6-1
tdb 1.3.12-1
texinfo 6.3-1
thin-provisioning-tools 0.6.3-1
thunar 1.6.11-1
thunar-archive-plugin 0.3.1-6
thunar-media-tags-plugin 0.2.1-2
thunar-volman 0.8.1-2
totem-plparser 3.10.7+1+gb25e497-1
ttf-dejavu 2.37-1
ttf-google-fonts-typewolf 17.2.r35eb2d7-1
ttf-iosevka-term-zshaped 1.12.5-1
